1 	0.22 	0.07 	0.111
6 	0.39 	0.12 	0.236
11 	0.67 	0.18 	0.385
16 	1.07 	0.29 	0.674
21 	1.27 	0.31 	0.586
26 	2.01 	0.47 	1.136
31 	2.72 	0.8 	1.482
36 	5.79 	0.77 	2.231
41 	8.92 	1.02 	2.846
46 	5.5 	1.38 	3.444
51 	10.56 	2.51 	4.584
56 	8.01 	3.3 	4.546
61 	28.12 	3.2 	7.975
66 	36.36 	2.89 	11.494
71 	13.12 	4.33 	8.137
76 	95.53 	4.1 	19.216
81 	131.44 	3.3 	21.846
86 	41.53 	8.49 	22.8
91 	62.53 	11.25 	29.843
96 	206.54 	13.56 	55.478
101 	688.99 	11.29 	128.963
