#iterationNumber	varNumber	clauseNumber	itertionTime
1	3786	9701	0.1671s
2	7102	13140	0.06569s
3	10418	21844	0.05607s
4	13734	24249	0.04241s
5	17050	32953	0.04909s
6	20366	35409	0.05143s
7	23682	41196	0.04622s
8	26998	49898	0.05342s
9	30314	52194	0.05552s
10	33630	60896	0.05268s
11	36946	63683	0.09133s
12	40262	72385	0.1043s
13	43578	75146	0.06824s
14	46894	83840	0.05679s
15	50210	92534	0.06758s
16	53526	90585	0.08818s
17	56842	99273	0.08448s
18	60158	100619	0.1117s
19	63474	104555	0.1085s
20	66790	108705	0.1425s
21	70106	113233	0.09792s
22	73422	114254	0.1038s
23	76738	118461	0.06926s
24	80054	127101	0.1211s
25	83370	123800	0.07828s
26	86686	132420	0.144s
27	90002	130190	0.1201s
28	93318	130737	0.2178s
29	96634	131977	0.1542s
30	99950	131474	0.105s
31	103266	140030	0.1768s
32	106582	139284	0.1543s
33	109898	147838	0.1343s
34	113214	156392	0.1449s
35	116530	151954	0.3988s
36	119846	149393	0.1872s
37	123162	151671	0.1559s
38	126478	160193	0.2029s
39	129794	168711	0.4394s
40	133110	152975	0.2115s
41	136426	141895	0.1865s
42	139742	150337	0.2616s
43	143058	137719	0.2662s
44	146374	105079	0.1937s
45	149690	101650	0.1475s
46	153006	109942	0.148s
47	156322	118218	0.2733s
48	159638	92589	0.2572s
49	162954	87440	0.4724s
This is the last UNSAT round.
