#iterationNumber	varNumber	clauseNumber	itertionTime
1	2712	6870	0.042s
2	5220	8759	0.01943s
3	7728	15463	0.01987s
4	10236	22167	0.02386s
5	12744	20670	0.0312s
6	15252	24524	0.02748s
7	17760	28480	0.01938s
8	20268	31669	0.02636s
9	22776	35447	0.03341s
10	25284	42133	0.03151s
11	27792	48815	0.0309s
12	30300	46021	0.04348s
13	32808	48991	0.03304s
14	35316	55655	0.03037s
15	37824	55581	0.034s
16	40332	62245	0.03573s
17	42840	62597	0.04219s
18	45348	69255	0.04485s
19	47856	68946	0.03323s
20	50364	75596	0.0579s
21	52872	73637	0.05024s
22	55380	80279	0.04097s
23	57888	80794	0.04639s
24	60396	77781	0.07163s
25	62904	80230	0.04344s
26	65412	83371	0.04955s
27	67920	84416	0.04876s
28	70428	91002	0.07797s
29	72936	87479	0.04837s
30	75444	94035	0.05593s
31	77952	87642	0.04967s
32	80460	87211	0.04659s
33	82968	93751	0.06641s
34	85476	91548	0.06118s
35	87984	88259	0.06415s
36	90492	94733	0.09292s
37	93000	60968	0.05707s
38	95508	62565	0.05693s
39	98016	60637	0.04779s
40	100524	66987	0.06134s
41	103032	46244	0.04868s
42	105540	52566	0.06405s
43	108048	45060	0.04857s
44	110556	44763	0.02168s
This is the last UNSAT round.
